Number, Hànzì, Pīnyīn, English, French
92,"疼","téng","pain","la douleur"
93,"感冒","gǎn mào","cold","du froid"
94,"凉","liáng","cool","frais"
95,"请假","qǐng jiǎ","Ask for leave","Demander un congé"
96,"休息","xiū xī","rest","du repos"
97,"嗓子","sǎng zǐ","voice","voix"
98,"体温表","tǐ wēn biǎo","Body temperature chart","Tableau de température corporelle"
99,"度","dù","degree","degré"
100,"严重","yán zhòng","serious","sérieux"
101,"要紧","yào jǐn","important","important"
102,"开药","kāi yào","Prescribe medicine","Prescrire des médicaments"
103,"药方","yào fāng","prescription","prescription"
104,"药房","yào fáng","pharmacy","pharmacie"
105,"理发","lǐ fā","Haircut","la Coupe de cheveux"
106,"染发","rǎn fā","Dye hair","Teindre les cheveux"
107,"剪","jiǎn","Cut","Couper"
108,"样","yàng","kind","gentil"
109,"再","zài","again","de nouveau"
110,"洗","xǐ","wash","lavage"
111,"吹风","chuī fēng","Blow","Coup"
112,"跟。。。一样","gēn 。。。 yī yàng","with. . . same","avec. . . même"
113,"眼睛","yǎn jīng","eye","œil"
114,"整容","zhěng róng","Plastic surgery","Chirurgie plastique"
115,"开玩笑","kāi wán xiào","joke","blague"
116,"水平","shuǐ píng","Level","Niveau"
117,"容易","róng yì","easy","facile"
118,"发音","fā yīn","pronunciation","prononciation"
119,"声调","shēng tiáo","tone","Ton"
120,"流利","liú lì","fluent","courant"
121,"音","yīn","sound","sonner"
122,"准","zhǔn","quasi-","quasi-"
123,"口语","kǒu yǔ","Spoken","Parlé"
124,"聊天","liáo tiān","to chat with","discuter avec"
125,"好久","hǎo jiǔ","Long time","Longtemps"
126,"最近","zuì jìn","Recently","Récemment"
127,"忙","máng","busy","occupé"
128,"死","sǐ","dead","mort"
129,"综合","zōng hé","Comprehensive","Complet"
130,"听力","tīng lì","hearing","audience"
131,"阅读","yuè dú","read","lis"
132,"节","jié","Section","Section"
133,"累","léi","tired","fatigué"
134,"特别","tè bié","especially","surtout"
135,"越来越","yuè lái yuè","More and more","De plus en plus"
